family,dataset,log_type,path,rows
benign,benign1_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign1_smashburger\conn.log,11
benign,benign1_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign1_smashburger\ssl.log,11
benign,benign2_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign2_smashburger\conn.log,11
benign,benign2_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign2_smashburger\ssl.log,11
benign,benign3_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign3_smashburger\conn.log,1
benign,benign3_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign3_smashburger\ssl.log,1
benign,benign4_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign4_smashburger\conn.log,8
benign,benign4_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign4_smashburger\ssl.log,8
benign,benign5_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign5_smashburger\conn.log,5
benign,benign5_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign5_smashburger\ssl.log,5
benign,benign6_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign6_smashburger\conn.log,72
benign,benign6_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign6_smashburger\ssl.log,72
benign,benign7_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign7_smashburger\conn.log,71
benign,benign7_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign7_smashburger\ssl.log,70
benign,benign8_smashburger,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign8_smashburger\conn.log,52
benign,benign8_smashburger,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign8_smashburger\ssl.log,52
benign,benign_2013-12-17_capture1,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2013-12-17_capture1\conn.log,2810
benign,benign_2013-12-17_capture1,dns,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2013-12-17_capture1\dns.log,1075
benign,benign_2013-12-17_capture1,http,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2013-12-17_capture1\http.log,12
benign,benign_2013-12-17_capture1,ssl,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2013-12-17_capture1\ssl.log,93
benign,benign_2013-12-17_capture1,x509,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2013-12-17_capture1\x509.log,38
benign,benign_2015-03-24_capture1-only-dns,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2015-03-24_capture1-only-dns\conn.log,1796
benign,benign_2015-03-24_capture1-only-dns,dns,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2015-03-24_capture1-only-dns\dns.log,3029
benign,benign_2017-05-01_normal,conn,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2017-05-01_normal\conn.log,30382
benign,benign_2017-05-01_normal,dns,D:\ResearchPaper\BenignTraffic\zeek_logs\benign_2017-05-01_normal\dns.log,21128
