family,dataset,channels,unique_src,unique_dst,median_connections_per_channel
benign,benign1_smashburger,4,1,4,2.5
benign,benign2_smashburger,3,1,3,5.0
benign,benign3_smashburger,1,1,1,1.0
benign,benign4_smashburger,4,1,4,1.5
benign,benign5_smashburger,3,1,3,1.0
benign,benign6_smashburger,4,1,4,17.5
benign,benign7_smashburger,4,1,4,18.5
benign,benign8_smashburger,4,1,4,12.0
benign,benign_2013-12-17_capture1,1133,91,1013,1.0
benign,benign_2015-03-24_capture1-only-dns,2,1,2,898.0
benign,benign_2017-05-01_normal,2006,4,1653,2.0
benign,benign_CTU-Normal-20-2017-04-30_win-normal,818,4,728,2.0
benign,benign_Monday-WorkingHours,25274,97,9713,2.0
benign,benign_amazon_https,34,1,34,4.0
benign,benign_jquery_http,1,1,1,42.0
cobalt_strike,2022-08-08-IcedID-with-Cobalt-Strike-carved,8,1,8,6.0
cobalt_strike,2022-10-06-IcedID-with-Cobalt-Strike-santized-and-carved,5,1,5,12.0
cobalt_strike,2022-11-28-BB08-Qakbot-with-Cobakt-Strike-and-VNC-traffic,121,1,110,1.0
cobalt_strike,2022-12-07-Bumblebee-infection-with-Cobalt-Strike,46,3,34,1.0
cobalt_strike,2022-12-20-IcedID-infection-with-Cobalt-Strike,33,3,21,1.0
cobalt_strike,2023-01-12-IcedID-infection-with-Cobalt-Strike,54,2,41,1.0
cobalt_strike,2023-01-31-BB12-Qakbot-with-Cobalt-Strike-and-Dark-Cat-VNC-traffic,94,2,78,2.5
cobalt_strike,2023-05-10-obama262-Qakbot-with-BlackCat-VNC-and-Cobalt-Strike,109,2,92,1.0
cobalt_strike,2023-07-12-Gozi-infection-with-Cobalt-Strike,51,3,35,1.0
cobalt_strike,2023-10-03-Pikabot-infection-with-Cobalt-Strike,33,1,25,2.0
cobalt_strike,2023-10-18-IcedID-forked-variant-infection-with-follow-up-activity-Cobalt-Strike,49,1,47,1.0
cobalt_strike,2023-11-06-404TDS-to-malware-to-Cobalt-Strike,20,1,11,6.0
cobalt_strike,2023-12-18-TA577-Pikabot-infection-with-Cobalt-Strike,55,1,38,2.0
cobalt_strike,2024-04-18-SSLoad-with-follow-up-Cobalt-Strike-DLL,46,1,39,1.0
cobalt_strike,Cobalt-Strike-cs2_amazon_http,512,1,1,5.0
cobalt_strike,Cobalt-Strike-cs2_amazon_https,1,1,1,28.0
cobalt_strike,Cobalt-Strike-cs2_default_https,1,1,1,84.0
cobalt_strike,Cobalt-Strike-cs2_dns_default,1,1,1,7999.0
cobalt_strike,Cobalt-Strike-cs2_dns_default_with_amazon,1,1,1,11834.0
cobalt_strike,Cobalt-Strike-cs3_amazon_http,1,1,1,50.0
cobalt_strike,Cobalt-Strike-cs3_amazon_https,512,1,1,5.0
cobalt_strike,Cobalt-Strike-cs3_default_https,512,1,1,5.0
cobalt_strike,Cobalt-Strike-cs4_amazon_http,1,1,1,15.0
cobalt_strike,Cobalt-Strike-cs4_amazon_https,1,1,1,30.0
cobalt_strike,Cobalt-Strike-cs5_amazon_http,1,1,1,16.0
cobalt_strike,Cobalt-Strike-cs5_amazon_https,1,1,1,39.0
cobalt_strike,Cobalt-Strike-cs_amazon_http,2,1,1,143.5
cobalt_strike,Cobalt-Strike-cs_amazon_https,1,1,1,24.0
cobalt_strike,Cobalt-Strike-cs_default_https,1,1,1,78.0
cobalt_strike,Cobalt-Strike-cs_dns_default,2,2,2,3176.5
cobalt_strike,Cobalt-Strike-cs_dns_default_with_amazon,1,1,1,11834.0
havoc,havoc_MSDT_1h,257,84,138,1.0
havoc,havoc_MSDT_24h,1445,392,408,1.0
mythic,mythic_24hr,1,1,1,7610.0
mythic,mythic_C_0804,23,23,2,1.0
mythic,mythic_C_1026,163,43,6,2.0
mythic,mythic_C_1031,193,43,6,4.0
mythic,mythic_C_1034,203,43,6,2.0
mythic,mythic_C_1036,213,43,6,2.0
mythic,mythic_C_1509,42,42,3,59.0
mythic,mythic_C_1541,62,42,5,56.5
mythic,mythic_C_1615,53,43,6,24.0
mythic,mythic_C_1817,43,43,4,24.0
mythic,mythic_C_2020,53,43,6,23.0
mythic,mythic_C_2223,173,43,6,2.0
mythic,mythic_C_2228,143,43,6,2.0
sliver,2021-10-20-Stolen-Images-Evidence-campaign-pushes-Sliver,14,1,14,1.0
sliver,2021-10-20-TA551-pushes-Sliver,3,1,3,5.0
sliver,sliver_A_0623,1927,47,95,5.0
sliver,sliver_A_0639,2018,47,84,7.0
sliver,sliver_A_0647,1975,47,93,7.0
sliver,sliver_A_0655,1928,47,83,7.0
sliver,sliver_A_0950,1116,46,50,2.0
sliver,sliver_A_1029,1121,45,50,2.0
sliver,sliver_A_1109,1090,46,55,2.0
sliver,sliver_A_1148,1441,47,65,2.0
sliver,sliver_A_1358,1483,47,61,3.0
sliver,sliver_A_1607,1495,47,64,2.0
sliver,sliver_A_1815,2001,47,82,5.0
sliver,sliver_A_1831,1950,47,88,6.0
