base_feature,times_selected,mean_selection_score
unique_destinations_window,18,137751.6347562712
source_connections_window,18,73954.9315487743
tls_version_TLSv13,18,68530.42852336777
tls_cipher_TLS_AES_256_GCM_SHA384,18,18523.175043955256
tls_sni_reuse_count_mean,18,15889.99577327222
conn_state_REJ,18,9933.682905066482
tls_curve_secp256r1,18,8474.368598423192
active_span_seconds,18,8158.310314709246
dns_ttl_std,18,7945.639833543495
bytes_per_packet,18,7430.463263442611
dns_unique_queries_window,18,6456.726016733165
tls_cipher_TLS_AES_128_GCM_SHA256,18,4364.618035208572
tls_curve_unknown,18,4329.7768011818835
tls_established_ratio,18,3685.377852125163
service_http,18,3631.7255221029036
tls_next_protocol_unknown,18,3550.938565551342
cv_iat,18,3442.1586476693524
service_ssl,18,2650.114070017281
tls_resumed_ratio,18,1994.852632151861
dns_ttl_mean,18,1710.3594705300757
tls_next_protocol_http/1.1,18,1638.6181554624939
tls_version_TLSv12,15,33513.83588124689
tls_curve_x25519,15,21450.085839638883
tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,15,13842.766274168634
mean_iat,15,3706.950993324846
tls_sni_entropy_mean,15,3591.3297884477597
median_iat,15,3186.3182478912563
mad_iat,15,2315.246271354455
std_iat,15,1919.2690585088478
tls_next_protocol_h2,15,1801.808676491405
dns_query_length_mean,15,1343.0223630010778
tls_version_TLSv10,15,1322.2650767191783
tls_sni_length_mean,15,1254.4489328034012
tls_sni_digit_ratio_mean,15,1196.0047842963572
tls_cipher_TLS_RSA_WITH_AES_128_CBC_SHA,15,1090.6381749423847
dns_answer_count_mean,15,971.336259913432
tls_sni_present_ratio,15,751.0960917614575
http_status_code_median,12,1419.2981950546737
tls_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,12,1143.3388283232669
burstiness,12,1008.1502414152192
http_user_agent_reuse_mean,12,958.1490779372289
dns_span_minutes,12,910.8450211887011
dns_cv_iat,12,841.6710180986875
dns_qtype_A,12,835.2159727621084
dns_qtype_PTR,12,795.5591993548301
proto_udp,12,741.7680341128113
tls_cipher_TLS_ECDHE_ECDSA_WITH_AES_128_GCM_SHA256,12,737.6324398548322
service_unknown,9,7384.874392692902
duration_median,9,3644.053613600348
duration_mean,9,3614.719769452052
duration_std,9,1577.8027685006266
dns_query_digit_ratio_mean,9,1430.5919525331963
http_get_ratio,9,796.1199916608665
tls_cipher_TLS_RSA_WITH_AES_256_CBC_SHA,9,724.6886084124261
conn_state_SF,6,7341.416116386357
http_request_body_fraction,6,2249.90064152132
tls_curve_secp384r1,6,1103.6732235617453
tls_cipher_TLS_RSA_WITH_AES_128_GCM_SHA256,6,953.6321007626766
http_method_POST,6,911.1109575356658
http_post_ratio,6,894.8036253738607
http_method_GET,6,890.0546737376794
dns_max_label_length_mean,6,806.600539351101
"service_quic,ssl",6,619.6130490463008
http_request_body_len_mean,6,518.1605911191492
dns_queries_window,3,1460.2820567957754
dns_queries_per_minute,3,1255.6376096434276
dns_label_count_mean,3,696.474467092305
conn_state_S0,3,657.2482864992036
tls_curve_X25519MLKEM768,3,516.95266257552
http_uri_entropy_mean,3,497.38367504866477
dns_nxdomain_ratio,3,432.42522307941323
http_user_agent_length_mean,3,382.85717130067565
http_requests_window,3,348.90962180318655
dns_std_iat,3,326.8087692854528
http_host_length_mean,3,287.5484300769226
dns_mean_iat,3,279.34156264286946
dst_port,3,273.43091822474656
