feature,type
dst_port,numeric
proto,categorical
connections_window,numeric
service,categorical
conn_state,categorical
duration_mean,numeric
duration_median,numeric
duration_std,numeric
orig_bytes_sum,numeric
resp_bytes_sum,numeric
orig_bytes_mean,numeric
resp_bytes_mean,numeric
orig_pkts_sum,numeric
resp_pkts_sum,numeric
orig_ip_bytes_sum,numeric
resp_ip_bytes_sum,numeric
missed_bytes_sum,numeric
mean_iat,numeric
median_iat,numeric
std_iat,numeric
mad_iat,numeric
active_span_seconds,numeric
cv_iat,numeric
total_bytes,numeric
total_packets,numeric
total_ip_bytes,numeric
orig_resp_byte_ratio,numeric
orig_resp_packet_ratio,numeric
bytes_per_packet,numeric
bytes_per_second,numeric
packets_per_second,numeric
burstiness,numeric
unique_destinations_window,numeric
source_connections_window,numeric
destination_reuse,numeric
dns_queries_window,numeric
dns_unique_queries_window,numeric
dns_query_length_mean,numeric
dns_query_length_max,numeric
dns_label_count_mean,numeric
dns_max_label_length_mean,numeric
dns_query_entropy_mean,numeric
dns_query_digit_ratio_mean,numeric
dns_repeated_query_ratio,numeric
dns_nxdomain_ratio,numeric
dns_answer_count_mean,numeric
dns_ttl_mean,numeric
dns_ttl_std,numeric
dns_mean_iat,numeric
dns_std_iat,numeric
dns_qtype,categorical
dns_rcode,categorical
dns_cv_iat,numeric
dns_span_minutes,numeric
dns_queries_per_minute,numeric
http_requests_window,numeric
http_method,categorical
http_status_code_median,numeric
http_request_body_len_mean,numeric
http_response_body_len_mean,numeric
http_uri_length_mean,numeric
http_uri_entropy_mean,numeric
http_host_length_mean,numeric
http_user_agent_length_mean,numeric
http_user_agent_reuse_mean,numeric
http_get_ratio,numeric
http_post_ratio,numeric
http_request_response_byte_ratio,numeric
http_request_body_fraction,numeric
tls_sessions_window,numeric
tls_version,categorical
tls_cipher,categorical
tls_curve,categorical
tls_next_protocol,categorical
tls_resumed_ratio,numeric
tls_established_ratio,numeric
tls_sni_present_ratio,numeric
tls_sni_length_mean,numeric
tls_sni_label_count_mean,numeric
tls_sni_entropy_mean,numeric
tls_sni_digit_ratio_mean,numeric
tls_sni_reuse_count_mean,numeric
