experiment,model,feature,selection_score
binary_detection,logistic_regression,num__unique_destinations_window,134320.23800985818
binary_detection,logistic_regression,cat__tls_version_TLSv13,122157.38933576661
binary_detection,logistic_regression,num__source_connections_window,82792.38478539333
binary_detection,logistic_regression,cat__tls_version_TLSv12,53561.972849970356
binary_detection,logistic_regression,cat__tls_cipher_TLS_AES_256_GCM_SHA384,47904.9071735955
binary_detection,logistic_regression,num__tls_sni_reuse_count_mean,20336.065934942057
binary_detection,logistic_regression,cat__tls_curve_x25519,19682.232968063305
binary_detection,logistic_regression,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,17156.628086893143
binary_detection,logistic_regression,num__active_span_seconds,10932.010622777963
binary_detection,logistic_regression,num__bytes_per_packet,9552.307236025632
binary_detection,logistic_regression,cat__tls_curve_secp256r1,8727.467765264575
binary_detection,logistic_regression,num__dns_ttl_std,7222.6777509165195
binary_detection,logistic_regression,cat__tls_cipher_TLS_AES_128_GCM_SHA256,5973.9416653684275
binary_detection,logistic_regression,num__dns_unique_queries_window,5922.440550882561
binary_detection,logistic_regression,cat__tls_curve_unknown,4418.206141035954
binary_detection,logistic_regression,num__mean_iat,4058.172146084019
binary_detection,logistic_regression,num__cv_iat,4033.8594192190753
binary_detection,logistic_regression,num__tls_sni_entropy_mean,4014.5830551274744
binary_detection,logistic_regression,num__duration_median,3842.4353936485372
binary_detection,logistic_regression,num__duration_mean,3808.8007839791817
binary_detection,logistic_regression,cat__tls_next_protocol_unknown,3696.386834135852
binary_detection,logistic_regression,num__tls_established_ratio,3620.5254659712023
binary_detection,logistic_regression,cat__service_http,3484.3039725984213
binary_detection,logistic_regression,num__median_iat,3462.007104850766
binary_detection,logistic_regression,cat__conn_state_REJ,2543.0968861266288
binary_detection,logistic_regression,num__mad_iat,2523.2129629835804
binary_detection,logistic_regression,num__std_iat,2164.3171328996586
binary_detection,logistic_regression,num__tls_resumed_ratio,1988.7267878369278
binary_detection,logistic_regression,cat__tls_next_protocol_h2,1661.6261489028489
binary_detection,logistic_regression,cat__tls_next_protocol_http/1.1,1605.063262992208
binary_detection,logistic_regression,num__duration_std,1579.9243286667481
binary_detection,logistic_regression,cat__service_ssl,1420.4656226235847
binary_detection,logistic_regression,num__dns_ttl_mean,1367.7384994242034
binary_detection,logistic_regression,num__tls_sni_length_mean,1254.723637541791
binary_detection,logistic_regression,num__tls_sni_digit_ratio_mean,1178.9174892589224
binary_detection,logistic_regression,cat__tls_version_TLSv10,1144.0413642069607
binary_detection,logistic_regression,num__http_status_code_median,1041.026782803091
binary_detection,logistic_regression,num__dns_query_length_mean,1017.4440145304825
binary_detection,logistic_regression,cat__tls_cipher_TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,1011.778153197506
binary_detection,logistic_regression,cat__tls_cipher_TLS_RSA_WITH_AES_128_CBC_SHA,917.0062701284694
binary_detection,logistic_regression,num__dns_answer_count_mean,760.7466079967587
