family,dataset,src_ip,dst_ip,dst_port,proto,binary_label,unknown_family,model,prediction,score
benign,benign5_smashburger,192.168.46.84,13.225.239.11,443,tcp,0,cobalt_strike,logistic_regression,1,0.9690521617086175
benign,benign5_smashburger,192.168.46.84,13.225.239.120,443,tcp,0,cobalt_strike,logistic_regression,1,0.9606830411841516
benign,benign5_smashburger,192.168.46.84,13.225.239.53,443,tcp,0,cobalt_strike,logistic_regression,1,0.9611268879449684
benign,benign6_smashburger,192.168.46.84,13.225.239.11,443,tcp,0,cobalt_strike,logistic_regression,1,0.9623296941805498
benign,benign6_smashburger,192.168.46.84,13.225.239.120,443,tcp,0,cobalt_strike,logistic_regression,1,0.9596248193413579
benign,benign6_smashburger,192.168.46.84,13.225.239.53,443,tcp,0,cobalt_strike,logistic_regression,1,0.9409121954169773
benign,benign6_smashburger,192.168.46.84,13.225.239.61,443,tcp,0,cobalt_strike,logistic_regression,1,0.935525682805371
benign,benign7_smashburger,192.168.46.85,13.225.239.11,443,tcp,0,cobalt_strike,logistic_regression,1,0.9369816454275565
benign,benign7_smashburger,192.168.46.85,13.225.239.120,443,tcp,0,cobalt_strike,logistic_regression,1,0.9386145309274301
benign,benign7_smashburger,192.168.46.85,13.225.239.53,443,tcp,0,cobalt_strike,logistic_regression,1,0.9554159763315607
benign,benign7_smashburger,192.168.46.85,13.225.239.61,443,tcp,0,cobalt_strike,logistic_regression,1,0.9413557946651578
benign,benign8_smashburger,192.168.46.85,13.225.239.11,443,tcp,0,cobalt_strike,logistic_regression,1,0.9507444483755148
benign,benign8_smashburger,192.168.46.85,13.225.239.120,443,tcp,0,cobalt_strike,logistic_regression,1,0.9575606175623642
benign,benign8_smashburger,192.168.46.85,13.225.239.53,443,tcp,0,cobalt_strike,logistic_regression,1,0.9504633602062944
benign,benign8_smashburger,192.168.46.85,13.225.239.61,443,tcp,0,cobalt_strike,logistic_regression,1,0.9500978193700778
benign,benign_2015-03-24_capture1-only-dns,10.0.0.34,8.8.4.4,53,udp,0,cobalt_strike,logistic_regression,1,0.9890498252888178
benign,benign_2015-03-24_capture1-only-dns,10.0.0.34,8.8.8.8,53,udp,0,cobalt_strike,logistic_regression,1,0.9013456890053918
benign,benign_2017-05-01_normal,0.0.0.0,255.255.255.255,67,udp,0,cobalt_strike,logistic_regression,1,0.9945303538703779
benign,benign_2017-05-01_normal,10.0.2.15,10.0.2.2,67,udp,0,cobalt_strike,logistic_regression,0,2.4771935729243046e-05
benign,benign_2017-05-01_normal,10.0.2.15,10.0.2.255,137,udp,0,cobalt_strike,logistic_regression,0,0.00017689658675819464
benign,benign_2017-05-01_normal,10.0.2.15,104.121.150.40,80,tcp,0,cobalt_strike,logistic_regression,0,1.965794428886924e-07
