#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2026-09-23-18-29-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1696344948.490452	ClDj7s2dXrsZN62R71	10.1.2.147	49328	23.222.241.141	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp256r1	www.bing.com	F	-	h2	T	CsxknGIti	80a5435f1698438a7d697f67fc00c3c86d13b0ac230853d7ef05be890da297e0,04eeea8e50b4775b3c24797262917ee50002ec4c75b56cdf3ee1c18cfca5ba52	(empty)	T
1696345108.952219	CSPZar3jggi4zWGtT8	10.1.2.147	49329	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696345117.148102	CYRxFY34voxn6GmTfh	10.1.2.147	49331	20.189.173.2	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	h2	T	CsxknGIi	ff1e7eea14833d39c83ab0e128d3e9027cd9832b5a41483e1c309f1436b7e451,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1696345280.200403	Cm8iAk3haopNn4DqP4	10.1.2.147	49334	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696345604.490870	COJRQQ1Ir5ymziyjq6	10.1.2.147	49337	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696345754.224728	Cpavor1lUSHF8S9lS1	10.1.2.147	49338	79.141.175.96	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	952279a87ece3a66f6dc20cff01c9a992701d8f2fde21b0205fbeb3bff5d2f73	(empty)	-
1696345903.633085	Coe7JD1D1G6UihWMf	10.1.2.147	49339	38.242.240.28	1194	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	ce28f5c68bc585e70a70230dbf30127593a9d012aa28e87ad233bf2f2a3ae405	(empty)	-
1696346081.426936	CFwj6v3GIewt4urXu2	10.1.2.147	49341	209.126.9.47	2078	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	dbd613dcfee051ae8de0083a8824d0d785e750ac89d7507a1e994b42aae45ead	(empty)	-
1696346402.235613	CBFS5X1x5Bp7PyzhAl	10.1.2.147	49343	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	-	F	-	-	T	CsxknGIti	881fb03efb27671a0d2e22ccd7b7e10cc1b6c3fa5bad3b8bbb165d2e4314ed3d	(empty)	-
1696346404.195095	CyqDPT4vopCsAPMQi	10.1.2.147	49344	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
1696346409.921604	CBAYCD24vyT8gVoMoe	10.1.2.147	49345	167.86.96.3	2222	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	-	-	T	-	-	T	CsiI	-	-	-
