#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ssl
#open	2026-09-23-18-29-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	cipher	curve	server_name	resumed	last_alert	next_protocol	established	ssl_history	cert_chain_fps	client_cert_chain_fps	sni_matches_cert
#types	time	string	addr	port	addr	port	string	string	string	string	bool	string	string	bool	string	vector[string]	vector[string]	bool
1673545957.588923	CfziWLMPFxdVKnWhd	172.18.127.129	55915	142.251.32.202	443	TLSv13	TLS_AES_128_GCM_SHA256	x25519	firebasestorage.googleapis.com	F	-	-	T	CsiI	-	-	-
1673545958.110541	CDDmoRknpoGufJB73	172.18.127.129	55918	20.7.2.167	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	client.wns.windows.com	F	-	-	T	CsxknGIi	7392d4d2dd029017d899359a4a1ad021cad2e656da43da7fecf3a4e96781fa5b,d6831ba43607f5ac19778d627531562af55145f191cab5efafa0e0005442b302	(empty)	T
1673545959.587326	CG2AYf36AtBGhBgFvi	172.18.127.129	55922	40.77.2.164	443	TLSv12	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384	secp384r1	fe3cr.delivery.mp.microsoft.com	F	-	h2	T	CsxknGIi	177dca1e39ff335fd9bce51f65c4561bd2f36be51f2947c1412e21996a9b6021,21158ad4dce10197239a87ebeb4d8d47e9e9be716ad497a2e036774caf5072cf	(empty)	T
1673545960.257720	Cz8vd83OyiDL1yxVg4	172.18.127.129	55924	13.107.237.57	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256	secp256r1	pti.store.microsoft.com	F	-	h2	T	CsxuknGIi	b76de22c4e80e21bb6adf86314175936a543f6d44ede1d2252d06b8358c4f8df,24c7299864e0a2a6964f551c0e8df2461532fa8c48e4dbbb6080716691f190e5,cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f	(empty)	T
1673545963.161751	CiXFmqcKAkvFa9URk	172.18.127.129	55929	23.218.232.180	443	TLSv12	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384	secp256r1	acroipm2.adobe.com	F	-	-	T	CsxknGIti	c48c7fc9eb0f669dfb46015c3bf0c1db88998c90e91be000d36c10978a54ff35,52274c57ce4dee3b49db7a7ff708c040f771898b3be88725a86fb4430182fe14	(empty)	T
1673545963.325768	Cg2MWb2MPbBLubYqbe	172.18.127.129	55930	23.218.232.180	443	TLSv12	TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384	secp256r1	acroipm2.adobe.com	F	-	-	T	CsxknGIti	c48c7fc9eb0f669dfb46015c3bf0c1db88998c90e91be000d36c10978a54ff35,52274c57ce4dee3b49db7a7ff708c040f771898b3be88725a86fb4430182fe14	(empty)	T
1673545965.622995	Cbtsq54RoriZzOO19h	172.18.127.129	55931	40.79.197.35	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	v10.events.data.microsoft.com	F	-	-	T	CsxknGIi	643856ed9d2fce5408ca7ba627126996f20ceb0827f6ebd4fe7d80cea7a6a2c5,83688f2aef71386e0936c4b3013b07e8e0c796d8427716dd48b2a63d79509129	(empty)	T
1673545971.804275	CCaSVI3CnwFgt9Gx39	172.18.127.129	55932	40.124.168.44	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	msedge.api.cdp.microsoft.com	F	-	h2	T	CsxknGIi	d1b846e1a61d1b6f0fd9f083c9094eba872cfba38ff2daf2530d262ec7b0f543,6139e2df97dc93bf7e90a303f75b3968fd06c57316b45e94dcff773707cf2754	(empty)	T
1673545972.460911	Cydskg2agdROw4DW1	172.18.127.129	55933	13.107.42.16	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	secp384r1	config.edge.skype.com	F	-	h2	T	CsxuknGIti	d50ab89e770ed5b23a47890d2b20d7f6abbc9a3787add1ba42f1b797a720223c,d6831ba43607f5ac19778d627531562af55145f191cab5efafa0e0005442b302	(empty)	T
1673546109.365638	Cb8KF2Oay9pu8Chh8	172.18.127.129	55943	103.208.85.127	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	turelomi.hair	F	-	-	T	CsxknGIti	4f1b4ef43bdff8fabb8b8cb71658fbd27b88822b919824daed72ac235ead3493	(empty)	F
1673546112.641311	C1G9AC25ZCT81Mfw1f	172.18.127.129	55944	103.208.85.127	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	turelomi.hair	F	-	-	T	CsxknGIti	4f1b4ef43bdff8fabb8b8cb71658fbd27b88822b919824daed72ac235ead3493	(empty)	F
1673546112.641498	CaoaFd4x7Jng3Cmov7	172.18.127.129	55945	103.208.85.127	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	turelomi.hair	F	-	-	T	CsxknGIti	4f1b4ef43bdff8fabb8b8cb71658fbd27b88822b919824daed72ac235ead3493	(empty)	F
1673546116.533890	Ca8Ni64E7jVQNvdyq9	172.18.127.129	55949	94.140.115.3	443	TLSv12	TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384	x25519	lezhidov.cloud	F	-	-	T	CsxknGIti	e5415cf6b6c790291181dd797b068035e4083c1e14b59730d2c1c6fe46cc9c48	(empty)	F
