family,dataset,src_ip,dst_ip,dst_port,proto,multiclass_label,model,prediction
benign,benign5_smashburger,192.168.46.84,13.225.239.11,443,tcp,benign,logistic_regression,sliver
benign,benign5_smashburger,192.168.46.84,13.225.239.120,443,tcp,benign,logistic_regression,sliver
benign,benign5_smashburger,192.168.46.84,13.225.239.53,443,tcp,benign,logistic_regression,sliver
benign,benign6_smashburger,192.168.46.84,13.225.239.11,443,tcp,benign,logistic_regression,sliver
benign,benign6_smashburger,192.168.46.84,13.225.239.120,443,tcp,benign,logistic_regression,sliver
benign,benign6_smashburger,192.168.46.84,13.225.239.53,443,tcp,benign,logistic_regression,sliver
benign,benign6_smashburger,192.168.46.84,13.225.239.61,443,tcp,benign,logistic_regression,sliver
benign,benign7_smashburger,192.168.46.85,13.225.239.11,443,tcp,benign,logistic_regression,sliver
benign,benign7_smashburger,192.168.46.85,13.225.239.120,443,tcp,benign,logistic_regression,sliver
benign,benign7_smashburger,192.168.46.85,13.225.239.53,443,tcp,benign,logistic_regression,sliver
benign,benign7_smashburger,192.168.46.85,13.225.239.61,443,tcp,benign,logistic_regression,sliver
benign,benign8_smashburger,192.168.46.85,13.225.239.11,443,tcp,benign,logistic_regression,sliver
benign,benign8_smashburger,192.168.46.85,13.225.239.120,443,tcp,benign,logistic_regression,sliver
benign,benign8_smashburger,192.168.46.85,13.225.239.53,443,tcp,benign,logistic_regression,sliver
benign,benign8_smashburger,192.168.46.85,13.225.239.61,443,tcp,benign,logistic_regression,sliver
benign,benign_2015-03-24_capture1-only-dns,10.0.0.34,8.8.4.4,53,udp,benign,logistic_regression,cobalt_strike
benign,benign_2015-03-24_capture1-only-dns,10.0.0.34,8.8.8.8,53,udp,benign,logistic_regression,mythic
benign,benign_2017-05-01_normal,0.0.0.0,255.255.255.255,67,udp,benign,logistic_regression,sliver
benign,benign_2017-05-01_normal,10.0.2.15,10.0.2.2,67,udp,benign,logistic_regression,benign
benign,benign_2017-05-01_normal,10.0.2.15,10.0.2.255,137,udp,benign,logistic_regression,benign
