experiment,unknown_family,model,known_train_families,train_rows,test_rows,unknown_test_rows,benign_test_rows,tn,fp,fn,tp,accuracy,precision,recall,f1,fpr,roc_auc,pr_auc
leave_one_c2_family_out,cobalt_strike,random_forest,"benign,havoc,mythic,sliver",49900,4300,2276,2024,2008,16,59,2217,0.9825581395348837,0.9928347514554411,0.9740773286467487,0.9833666001330672,0.007905138339920948,0.9983399990969526,0.9982658111039291
leave_one_c2_family_out,cobalt_strike,logistic_regression,"benign,havoc,mythic,sliver",49900,4300,2276,2024,2002,22,145,2131,0.9611627906976744,0.9897816999535531,0.9362917398945518,0.9622939715511402,0.010869565217391304,0.9961388209673723,0.9965898340991669
leave_one_c2_family_out,cobalt_strike,decision_tree,"benign,havoc,mythic,sliver",49900,4300,2276,2024,2005,19,167,2109,0.9567441860465117,0.9910714285714286,0.9266256590509666,0.9577656675749319,0.009387351778656126,0.965369433233535,0.9643520564564702
leave_one_c2_family_out,havoc,random_forest,"benign,cobalt_strike,mythic,sliver",50474,3726,1702,2024,2008,16,371,1331,0.8961352657004831,0.9881217520415738,0.782021151586369,0.8730731387340112,0.007905138339920948,0.9963188506430471,0.9944111249921024
leave_one_c2_family_out,havoc,logistic_regression,"benign,cobalt_strike,mythic,sliver",50474,3726,1702,2024,2004,20,370,1332,0.895330112721417,0.985207100591716,0.782608695652174,0.8722986247544204,0.009881422924901186,0.9906384839040793,0.9900384197905859
leave_one_c2_family_out,havoc,decision_tree,"benign,cobalt_strike,mythic,sliver",50474,3726,1702,2024,2009,15,547,1155,0.8491680085882984,0.9871794871794872,0.6786133960047004,0.8043175487465181,0.007411067193675889,0.9010895400900126,0.8864122820454967
leave_one_c2_family_out,mythic,random_forest,"benign,cobalt_strike,havoc,sliver",50811,3389,1365,2024,2008,16,12,1353,0.991737975804072,0.9883126369612856,0.9912087912087912,0.9897585954645208,0.007905138339920948,0.999415439632831,0.998262829908747
leave_one_c2_family_out,mythic,decision_tree,"benign,cobalt_strike,havoc,sliver",50811,3389,1365,2024,2009,15,14,1351,0.9914429035113603,0.9890190336749634,0.9897435897435898,0.9893811790552911,0.007411067193675889,0.9962175505653766,0.9889188821601235
leave_one_c2_family_out,mythic,logistic_regression,"benign,cobalt_strike,havoc,sliver",50811,3389,1365,2024,2004,20,23,1342,0.9873118914133963,0.9853157121879589,0.9831501831501831,0.9842317565089842,0.009881422924901186,0.9971912145825189,0.9951775876667255
leave_one_c2_family_out,sliver,decision_tree,"benign,cobalt_strike,havoc,mythic",32614,21586,19562,2024,2001,23,70,19492,0.9956916519966645,0.9988214194209583,0.9964216337797771,0.9976200834250326,0.011363636363636364,0.9914053164500183,0.9985269006498635
leave_one_c2_family_out,sliver,logistic_regression,"benign,cobalt_strike,havoc,mythic",32614,21586,19562,2024,2019,5,5401,14161,0.7495598999351432,0.9996470422137512,0.7239034863510888,0.8397177419354839,0.0024703557312252965,0.9960049238400013,0.999240148927735
leave_one_c2_family_out,sliver,random_forest,"benign,cobalt_strike,havoc,mythic",32614,21586,19562,2024,2017,7,19335,227,0.10395626795145001,0.9700854700854701,0.011604130457008486,0.02293392604566579,0.003458498023715415,0.9937033079783223,0.9975299934563083
